pageName,name,xpath,tagName,role,classname,width,height,size,topX,topY,fullArea,whiteSpace,whiteSpaceRatio,titleKeywords,textLength,avgWordLength,fullStopsRatio,numberOfVerticalBars,numberOfDateTokens,numberOfImages,numberOfTables,wordFrequency,numberOfLinks,wordFrequencyInLinks,wordFrequencyInLinksToAll,averageSentenceLength,ratioOfTermsToAll,ratioOfUppercaseWordsToAll,textSimilarity,structureSimilarity,structureSimilarity_Levenshtein,background_color,fontSize,borderWidth,borderStyle,borderColor,color,marginTop,marginRight,marginBottom,marginLeft,paddingTop,paddingRight,paddingBottom,paddingLeft,shape,label
0,2,680,8,11,279,812.0,80.0,0.0018770946748966268,120.0,0.0,0.016576227824932732,0.0,0.0,6,0.0957168870239886,0.12292358803986711,0.0,0,0,0,0,0.12292358803986711,59,0.11952528962983894,2.540540541,0.10205726405090138,1.125,0.471471471,0.248138958,0.0,51.89091868,0.0,16.0,0,1,0.17647058823529413,0.17647058819420636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,5,2762,8,4,1180,253.0,219.0,0.0016009220978245881,662.65625,777.0,0.002943199072240981,0.0012606101355469633,0.791831357,1,0.007600348349299343,0.012919896640826873,0.142857143,0,0,0,0,0.012919896640826873,0,0.0,0.0,0.015254099024390243,0.118243243,0.171428571,0.0,0.0,50.0,0.0,16.0,0,1,0.9647058823529412,0.9647058821283281,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0
0,5,3271,22,14,695,360.0,38.0,0.0003946148515684423,98.0,419.921875,0.0034908065986003663,0.0,0.0,0,0.001860501939672235,0.0033222591362126247,0.0,0,0,0,0,0.0033222591362126247,1,0.0016953941791466515,1.333333333,0.0162601625980912,0.030405405,0.444444444,10.63829787,1.0,100.0,0.0,18.0,0,1,1.0,0.9999999997671694,0.0,9.0,0.0,9.0,8.676,0.0,8.676,0.0,0,0
0,2,679,0,10,277,120.0,80.0,0.00027666403879194083,0.0,0.0,0.0024496888411230638,0.0,0.0,0,0.0001979257382630037,0.00036913990402362494,0.0,0,0,0,0,0.00036913990402362494,0,0.0,0.0,0.005302226935312832,0.003378378,1.0,0.103391232,1.0,100.0,0.0,16.0,0,1,0.1703330975969492,0.17033309755729042,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0,1
0,3,687,22,14,278,174.0,80.0,0.00040155313467294236,120.0,0.0,0.0035520488196284427,0.0,0.0,2,0.0266012192225477,0.035437430786267994,0.0,0,0,0,0,0.035437430786267994,15,0.029669398135066402,2.1875,0.10134828056203606,0.324324324,0.427083333,23.13988095,1.0,100.0,0.0,16.0,0,1,0.17647058823529413,0.17647058819420636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,3,689,22,14,278,191.0,80.0,0.0004408700722651095,294.0,0.0,0.0038990880721208768,0.0,0.0,2,0.025611590531232683,0.029531192321889995,0.0,0,0,0,0,0.029531192321889995,15,0.02769143825939531,2.45,0.22834923997879109,0.27027027,0.4875,24.33185214,1.0,100.0,0.0,16.0,0,1,0.17647058823529413,0.17647058819420636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,3,688,22,14,278,176.0,80.0,0.00040617865674260907,485.0,0.0,0.003592876966980494,0.0,0.0,2,0.02232602327606682,0.031007751937984496,0.0,0,0,0,0,0.031007751937984496,14,0.027126306866346424,2.285714286,0.03937787203605514,0.283783784,0.571428571,23.23038689,1.0,100.0,0.0,16.0,0,1,0.17647058823529413,0.17647058819420636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,3,686,22,14,278,175.0,80.0,0.0004038658957077757,661.0,0.0,0.0035724628933044684,0.0,0.0,0,0.015042356107988283,0.01845699520118125,0.0,0,0,0,0,0.01845699520118125,8,0.01610624470189319,2.28,0.1339696005302227,0.168918919,0.36,25.22964167,1.0,100.0,0.0,16.0,0,1,0.17647058823529413,0.17647058819420636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,3,691,22,14,278,96.0,80.0,0.00022115777395594017,836.0,0.0,0.001959751072898451,0.0,0.0,0,0.002810545483334653,0.0036913990402362494,0.0,0,0,0,0,0.0036913990402362494,5,0.004662333992653292,3.3,0.07529162248144221,0.033783784,0.9,10.28783369,1.0,100.0,0.0,16.0,0,1,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,2,681,8,10,275,140.0,80.0,0.0003229192594886081,932.0,0.0,0.00019597510728984512,0.00029974437430825156,0.931428571,0,0.0002770960335682052,0.0007382798080472499,0.0,0,0,0,0,0.0007382798080472499,2,0.009465950833568805,33.5,0.007423117709437964,0.006756757,1.0,0.144747725,1.0,100.0,0.0,16.0,0,1,0.17647058823529413,0.17647058819420636,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0,1
